,Names,review,cleaned_data
Honestly, u have to watch it, it's one of the best performance u be watching in a Long time, movies like this deserves to be watched on the Big Screen, go find the best cinema in town and enjoy the wild ride of emotions and fear and anger, just satisfying!!",wow honestly gotta tell one best movies ive seen years cinematography thumping sadden soundtrack way omg performance joaquin phoenix dark evolving twisting wow feel deep bones emotions portraying jokerjust alone watching hearing jokers laugh twisty evil could hear sadness coming mouth could hear hours practice laugh alone method acting perfectly point along subtle gestures dance done perfectly joker movie psychological twisting made believed immersed movie totally shocked overwhelmed everything even left cinema mindblownedwhen watching cinema half cinema cheered applauded certain scenes almost entire patron stayed last credit u looked closely even joker costume evolving changing time time based journey experienced looked final true form looked absolutely stunning excitement dialogues told joker heartcrushing made felt bad joker first time sided evil character maybe hero movie knows honestly u watch one best performance u watching long time movies like deserves watched big screen go find best cinema town enjoy wild ride emotions fear anger satisfying
60,figachealluce,,
61,davidgibson-19224,"I am not a Batman fan nor am I particularly fond of Joaquin Phoenix, but this movie was truly exceptional. It started slow but built to a viscerally satisfying crescendo. I never thought I would be rooting for the Joker, but found that I did so throughout the movie. The Joker's pain was so palpable. I am filling out my Oscar pool card right now.

PS This movie is dark and violent and decidedly not a super hero movie. Leave the kids at home.",batman fan particularly fond joaquin phoenix movie truly exceptional started slow built viscerally satisfying crescendo never thought would rooting joker found throughout movie jokers pain palpable filling oscar pool card right nowps movie dark violent decidedly super hero movie leave kids home
62,MR_Heraclius,,
63,umghumman,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix.Amazing directing by Todd Phillips & amazing cinematography by Lawrence Sher.",acting cinematography music screenplay costumes gotham etc everything 1010oscar worthy performanceby joaquin phoenixamazing directing todd phillips amazing cinematography lawrence sher
64,cooljatinbaghel,I saw this movie 2 times. It's a masterpiece. Every time I saw this this movie it made me cry and I can feel the pain of the character. joaquin performance is marvelous. In the conclusion I can say it is best movie of the dc.,saw movie 2 times masterpiece every time saw movie made cry feel pain character joaquin performance marvelous conclusion say best movie dc
65,80sHorror,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film.",truly masterpiece best hollywood film 2019 one best films decade truly best film bring comic book chillingly realistically real ife remarkable direction cinematography music acting people surprised find disturbing violent necessity message society reflects underappreciatedunrecognizedbullied people proving something way shows class difference corruption rich talented rule others around exaggerated thats makes different believable could multiple jokers living society could shake around much bitter way film shows making people uncomforting people consider wake call message first film perfect film
66,Mihael-Kozina-505,"The acting, cinematography, sound design and the script itself are phenomenal. The film deserved its Oscar.

Joker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.

It focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least. It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.",acting cinematography sound design script phenomenal film deserved oscarjoker deserved presented venice film festival event regards cinema form art film far blockbuster mere entertainer movie films genre areit focuses psyche main character slowly crumbles pressure society thus joaquin phoenix wonderful performance earning almost surely nomination oscars least take joker differs ledgers id say equally good main difference might ledgers joker rational acts insane phoenixs insane root
67,jjhermans-90735,"Wow, what a movie! I have to admit, When I first heard Joaquin Phoenix was going to be the joker, I was surprised. I wasn't sure how he was going to pull it off. I was hoping it wasn't going to be another cheesy rendition full of fluff and unrealistic explanations of how the Joker came to be. One where my (adult) son wouldn't have to keep nudging me to wake me up. I was pleasantly surprised on well Todd Phillips' version played and Joaquin's acting was superb. You could feel the anguish his character was going through right up to the point he lost his mind. Just an excellent, well acted movie that you almost forget is derived from a DC comic.",wow movie admit first heard joaquin phoenix going joker surprised wasnt sure going pull hoping wasnt going another cheesy rendition full fluff unrealistic explanations joker came one adult son wouldnt keep nudging wake pleasantly surprised well todd phillips version played joaquins acting superb could feel anguish character going right point lost mind excellent well acted movie almost forget derived dc comic
68,zyalahmad-35308,JOKER is a gift to the audiences. I felt as a privileged person to sit in a movie theater and watching it. Joaquin Phoenix and Todd Phillips gave to the world of cinema a rear pearl. I don't know what people are complaining about: this is really something else.,joker gift audiences felt privileged person sit movie theater watching joaquin phoenix todd phillips gave world cinema rear pearl dont know people complaining really something else
69,gatozangado,"It premiered last night in Sydney and I was lucky enough to watch this masterpiece first hand. The movie is flawless but because of its approach on mental illness and the execution of Joaquin Phoenix. The 80's settings brings a darker filter to it, creating a scenario where you see no hope for a person as the main character to survive. The movie does not praise violence and it's far from being about making the Joker a ""hero"" or him starting a movement, it's all about a man trying to find himself. Violence is what happens in between and labelling the movie as such is a misinterpretation of the picture. Also, if the movie had no reference whatsoever of the Batman universe it would work the same, it is a movie that sustains itself from beginning to end delivering frame by frame what it was meant to.",premiered last night sydney lucky enough watch masterpiece first hand movie flawless approach mental illness execution joaquin phoenix 80s settings brings darker filter creating scenario see hope person main character survive movie praise violence far making joker hero starting movement man trying find violence happens labelling movie misinterpretation picture also movie reference whatsoever batman universe would work movie sustains beginning end delivering frame frame meant
70,tukrography,"Wow, it takes a while to find the right words to describe this movie. It's different! It feels like a character study, almost like a documentary but at the same time as if you'd be watching a horror drama movie as intense as it is and realistic. It touches on mental health issues which sadly this country is struggling with but won't admit to it. This film has the best character development I could possibly think of! Now I will say this: JOKER is the last movie you'd ever want to show to kids! Not even teenagers should see this! It might be a tough one for them to see as it is brutal, bloody and might even be simply too much to handle. I saw some walk out of the theater and if you're a very sensitive person you might do the same! However, it is by far the best film and performance of the year and there's no doubt Joaquin Phoenix should win all awards for this including the Oscar! And in my opinion while it is a different take on the JOKER, this is the best portrayal of the JOKER. Go see this with an open mind, and if possibly without expectations. This will definitely spark many conversations and most likely arguments as well.",wow takes find right words describe movie different feels like character study almost like documentary time youd watching horror drama movie intense realistic touches mental health issues sadly country struggling wont admit film best character development could possibly think say joker last movie youd ever want show kids even teenagers see might tough one see brutal bloody might even simply much handle saw walk theater youre sensitive person might however far best film performance year theres doubt joaquin phoenix win awards including oscar opinion different take joker best portrayal joker go see open mind possibly without expectations definitely spark many conversations likely arguments well
71,Keyser.S,"No one cares about your country's inability to separate Reel and Real influences. Film is a medium not just for political ideals or comments.

Watch it",one cares countrys inability separate reel real influences film medium political ideals commentswatch
72,joaquinr-64300,"I can't believe that such a totally perfect and spectacular movie I just saw, I am completely stunned. This movie needs to be in the Oscars. Nominated to:

This film must be nominated for the following awards: Best movie best Actor Best screenplay Best address Best Adapted Screenplay Best soundtrack Best sound mixing",cant believe totally perfect spectacular movie saw completely stunned movie needs oscars nominated tothis film must nominated following awards best movie best actor best screenplay best address best adapted screenplay best soundtrack best sound mixing
73,stanleyquinn,Without doubt one of the best movie's that I've ever seen!,without doubt one best movies ive ever seen
74,bada-65197,"The Joker won. Absolutely tremendous, what acting skills are we talking about ? It is amazing!",joker absolutely tremendous acting skills talking amazing
75,RADIO-1S_MR-MOVIE-MAD-AMI_104-FM,,
76,boelbspam,"This Is without a doubt the best protryal of the joker, the way he slowly gets turned by society and becomes skinnier and crazier,defenanrly one of the if not the best movie of 2019",without doubt best protryal joker way slowly gets turned society becomes skinnier crazierdefenanrly one best movie 2019
77,i_like_jellycups,"A breath of fresh air

Think heath ledgers joker in taxi driver with a game of thrones like soundtrack",breath fresh airthink heath ledgers joker taxi driver game thrones like soundtrack
78,ahmad_bac,That is best joker can i see And joaquin phoenix will win the oscar,best joker see joaquin phoenix win oscar
79,bhernandez2216,"Critics have just spoken. ""JOKER"" is already the ""#1 Movie in the Whole DC Universe"". It's an ""incredible DC film to watch"", Joker is now the ""Winner Golden Lion Best Film 76 Venice Film Festival"" ""Joaquin Phoenix is Astonishing"", it's ""Exhilarating"" ""A Masterpiece"", ""A Wild Card"", ""10/10"" ""Five Stars"" and it's now the ""#1 wining Major Oscar Buzz, at the Box Office, for the Best Joaquin Phoenix's Joker"", and Todd Phillips just dominated Christopher Nolan's ""The Dark Knight"". This is why you go to the movies, and put a smile on your happy faces to enjoy.",critics spoken joker already 1 movie whole dc universe incredible dc film watch joker winner golden lion best film 76 venice film festival joaquin phoenix astonishing exhilarating masterpiece wild card 1010 five stars 1 wining major oscar buzz box office best joaquin phoenixs joker todd phillips dominated christopher nolans dark knight go movies put smile happy faces enjoy
80,jordanhuxley77,I have never been so moved by a fictional film. Truly amazing and im speechless.,never moved fictional film truly amazing im speechless
81,ryanphelantv,"Read all you like about ""Joker"" - there is nothing that will prepare you for the gut-punch to come. This is less ""The Dark Knight"" and more ""Taxi Driver"" but make no mistake, it feels like the most original take you have ever seen on a well-worn genre. It is an uber-violent character study of a mentally ill man trying to survive in a bleak society that is failing him. It is an immersive and cathartic experience, and an enthralling and uncomfortable one for the viewer.

If there is a more perfect performance than Joaquin Phoenix commands in this film, I would love to debate it. His depth and range is an acting masterclass and somehow demands empathy in a violent and disturbed character.

Todd Phillips stamps himself as a modern master with this film. The look and feel of the film has such pace and menace, yet at the same time creates a claustrophobic atmosphere.

It is a brilliant film. I hope people continue to see it as a cinematic masterpiece and it doesn't get caught up in politics or become part of a narrative of the sometimes flawed society we live in ourselves.",read like joker nothing prepare gutpunch come less dark knight taxi driver make mistake feels like original take ever seen wellworn genre uberviolent character study mentally ill man trying survive bleak society failing immersive cathartic experience enthralling uncomfortable one viewerif perfect performance joaquin phoenix commands film would love debate depth range acting masterclass somehow demands empathy violent disturbed charactertodd phillips stamps modern master film look feel film pace menace yet time creates claustrophobic atmosphereit brilliant film hope people continue see cinematic masterpiece doesnt get caught politics become part narrative sometimes flawed society live
82,kittenimdb,I'm amazed. I was shocked by how perfect Joaquin's acting was. I never imagined that I'm going too see such a good interpretation of my favorite villain. Thank you for everything!,im amazed shocked perfect joaquins acting never imagined im going see good interpretation favorite villain thank everything
83,eddie_baggins,"Whether you end up loving or hating Joker, Todd Phillip's gritty and Scorsese like take on the legendary DC comics villain, there's no denying that the cinematic comic book adaptations landscape has been changed forever.

Just as Nolan changed our expectations for what a comic book film can be with his Dark Knight trilogy, Joker's examination of the birth of a nefarious villain hellbent on chaos and anarchy is unlike anything we've ever seen before, stripping the well known character back to the bare basics as we're introduced to the sad life of the misunderstood and unloved Arthur Fleck.

Sharing more in common with dramas such as Taxi Driver and Serpico, rather than it's other comic book cousins, Phillip's and his mindbogglingly good leading man Joaquin Phoenix take us into the mind of a broken man trying to fit into a world that doesn't want to open its arms to him, in what's an engaging, cant look away character study that slowly but surely descends into a dark and uncomfortable place that befits the name and reputation of its title being.

It may seem far to early to call but I for one am confident in saying that Phoenix's full embodiment of Fleck goes down as one of the most singularly impressive acting turns of not only the decade, but all time.

Similar to what De Niro did as Travis Bickle in Taxi Driver, what Daniel Day Lewis did as Daniel Plainview in There Will Be Blood and what Pacino achieved with Sonny in Dog Day Afternoon, Phoenix commands every second of screen time he gets in Phillips dark tale, in what must surely be the biggest sure fire bet for an Oscar you could ever hope to get.

From the way in which Fleck appears physically, from a simple walk, through to a slight facial tick, right through to a haunting and hard to forget collection of haunting laughs, Phoenix appears in virtually every scene of Joker and never ones fails to enthrall, and in doing so his managed to do the seemingly impossible of allowing us to understand a deeply flawed and depraved creature but a creature you begin to understand and at times even feel sympathy towards.

For all the great incarnations of the character, it's hard to think of a better way in which the Joker could be born into existence and by bringing his own flavour and nuances to Fleck, there's no point in comparing Phoenix to Heath Ledger's iconic take on the face painted mad man, with this take a whole different beast entirely.

As good as Phoenix is, it would've only taken the film so far had Phillip's and his team not come to the party but for a relatively small budgeted film, Joker's astounding overall quality ensures it can comfortably sit in the top class of 2019 films.

It's amazing to think that this is a film from the same man that gave us Old School and The Hangover but Joker sees Phillip's grow into a whole new level with his on point direction, that fits perfectly with Lawrence Sher's eye-capturing 70's like cinematography and Hildur Guðnadóttir's memorizing score, giving Joker an epic and unforgettable cinematic verve that brings it's A game too match its captivating leading man.

While first and foremost a believable tale of a man pushed to the edge of his already teetering limits, Joker also manages to throw in a number of surprising narrative and comic book throwbacks that will be no doubt be discussed ad-nauseam by die-hard fans and naturally tie together Fleck's story to a much broader universe without ever feeling forced or unnatural, all within a tale that is as confronting and even topical as you'd get regardless of genre.

Final Say -

Bleak, beautiful and boundlessly inventive, led by a Joaquin Phoenix performance for the ages, Joker is an outstanding cinematic achievement that's sure to be talked about for years yet to come.

5 French Fries out of 5",whether end loving hating joker todd phillips gritty scorsese like take legendary dc comics villain theres denying cinematic comic book adaptations landscape changed foreverjust nolan changed expectations comic book film dark knight trilogy jokers examination birth nefarious villain hellbent chaos anarchy unlike anything weve ever seen stripping well known character back bare basics introduced sad life misunderstood unloved arthur flecksharing common dramas taxi driver serpico rather comic book cousins phillips mindbogglingly good leading man joaquin phoenix take us mind broken man trying fit world doesnt want open arms whats engaging cant look away character study slowly surely descends dark uncomfortable place befits name reputation title beingit may seem far early call one confident saying phoenixs full embodiment fleck goes one singularly impressive acting turns decade timesimilar de niro travis bickle taxi driver daniel day lewis daniel plainview blood pacino achieved sonny dog day afternoon phoenix commands every second screen time gets phillips dark tale must surely biggest sure fire bet oscar could ever hope getfrom way fleck appears physically simple walk slight facial tick right haunting hard forget collection haunting laughs phoenix appears virtually every scene joker never ones fails enthrall managed seemingly impossible allowing us understand deeply flawed depraved creature creature begin understand times even feel sympathy towardsfor great incarnations character hard think better way joker could born existence bringing flavour nuances fleck theres point comparing phoenix heath ledgers iconic take face painted mad man take whole different beast entirelyas good phoenix wouldve taken film far phillips team come party relatively small budgeted film jokers astounding overall quality ensures comfortably sit top class 2019 filmsits amazing think film man gave us old school hangover joker sees phillips grow whole new level point direction fits perfectly lawrence shers eyecapturing 70s like cinematography hildur guðnadóttirs memorizing score giving joker epic unforgettable cinematic verve brings game match captivating leading manwhile first foremost believable tale man pushed edge already teetering limits joker also manages throw number surprising narrative comic book throwbacks doubt discussed adnauseam diehard fans naturally tie together flecks story much broader universe without ever feeling forced unnatural within tale confronting even topical youd get regardless genrefinal say bleak beautiful boundlessly inventive led joaquin phoenix performance ages joker outstanding cinematic achievement thats sure talked years yet come5 french fries 5
84,bipindongol,A movie worthy of an oscar. One of the best movie in superhero genre since The Dark Knight. Phoenix is the actor who was born for this role after Ledger.,movie worthy oscar one best movie superhero genre since dark knight phoenix actor born role ledger
85,uniquefx,"I saw the movie after the opening weekend and loved it. I think it's a masterpiece. Convinced my 65 year old mother too see it, who couldn't even remember whose nemesis the Joker is. She had read about all the negative press about the movie being too violent and taking light of mental health issues.

She loved the movie. Sympathized for Arthur and was rooting for the Joker (to a certain point) She was surprised about the small amount of violence is depicted after all the press putdown and enjoyed the ""social commentary"" the movie conveys.

Her score: 9 / 10

Mom is always right.",saw movie opening weekend loved think masterpiece convinced 65 year old mother see couldnt even remember whose nemesis joker read negative press movie violent taking light mental health issuesshe loved movie sympathized arthur rooting joker certain point surprised small amount violence depicted press putdown enjoyed social commentary movie conveysher score 9 10mom always right
86,aslamlarvers,"Cause it's not a joke.

Marvel fanboy is crying right now",cause jokemarvel fanboy crying right
87,aldoheda,"How can i speak something that my feeling cant even contain.. this is truly greatness.. a movie that moved you into something that you cant describe, so stressful, painful and sorrow, depressing, twisting, and oddly beautiful. Joaquin put act to another level, and de niro just fis right as always.. enjoy every scene, because everything may not as it seems",speak something feeling cant even contain truly greatness movie moved something cant describe stressful painful sorrow depressing twisting oddly beautiful joaquin put act another level de niro fis right always enjoy every scene everything may seems
88,amim-reviews,"So it literally blew me off...phoenix has given something to cinema which was missing from a long long time!! The movie got released today, and imagine a theatre full of people (in india) and clapping during the film means it deserves every applause..",literally blew offphoenix given something cinema missing long long time movie got released today imagine theatre full people india clapping film means deserves every applause
89,raghu-xyz,"I was blown away by the script and performance. Artistic, gritty, brilliant. Oscar for Todd and Joaquin.",blown away script performance artistic gritty brilliant oscar todd joaquin
90,sushovanroyin,Joaquine phoenix's acting is just great and Todd Phillips direction and screenplay makes it even greater,joaquine phoenixs acting great todd phillips direction screenplay makes even greater
91,totalfinance,"Just go see it.. The end

Film of the year by some distance, literally breathtaking performance",go see endfilm year distance literally breathtaking performance
92,kevinshaju,,
93,stenbocken-21325,Outstanding! If DC bought and continued this arch from WB they actually could have a chance at Marvel. A little bit of Hans Zimmer and you have a hit!,outstanding dc bought continued arch wb actually could chance marvel little bit hans zimmer hit
94,banishasharma,"When I saw dark night, I thought it was the best DC universe movie but then joker came along . The acting in this film hypnotised me.",saw dark night thought best dc universe movie joker came along acting film hypnotised
95,m667,"This is the movie where the audience will like Joker but hate Thomas Wayne, Batman's father when they see how uncaring he is. This movie is going to be a classic hopefully!",movie audience like joker hate thomas wayne batmans father see uncaring movie going classic hopefully
96,yaabonline,The viewer is uncomfortable starting the first few minutes but it is necessary for the message of the movie. Very powerful and contemporary issues with sensational acting from Joaquim Phoenix.,viewer uncomfortable starting first minutes necessary message movie powerful contemporary issues sensational acting joaquim phoenix
97,jlspecht,Explains a lot and the story line moves at a good pace.,explains lot story line moves good pace
98,curascristian,"This movie is so good...the cinematography,the acting,writing definitely the best movie of 2019",movie goodthe cinematographythe actingwriting definitely best movie 2019
99,AnAverageNerd,"I want to start this review by saying i have been an avid marvel movie fan and for many years was embarrassed for DC in their attempts to catch up in the game. However, this film flipped the entire script! Marvel found a very good formula through directors such as the Russo brothers and writers such as Taika Waititi in which they combined elements of action, comedy and story to produce some very enjoyable films. Todd Phillips' take on Joker did everything right that DC films had been missing and then some. This film is not meant to give you that nice, warm feeling you feel walking out of a marvel film but to challenge your perception of society and the issues within it. It achieves this in waves and has allowed DC to achieve something marvel have lacked by suggesting the world we live in sometimes isn't worth protecting as it is. Joaquin Phoenix is of course exceptional in the role and approaches the role from a real understanding of what it entails. See this film and try not to feel anything, I dare you!",want start review saying avid marvel movie fan many years embarrassed dc attempts catch game however film flipped entire script marvel found good formula directors russo brothers writers taika waititi combined elements action comedy story produce enjoyable films todd phillips take joker everything right dc films missing film meant give nice warm feeling feel walking marvel film challenge perception society issues within achieves waves allowed dc achieve something marvel lacked suggesting world live sometimes isnt worth protecting joaquin phoenix course exceptional role approaches role real understanding entails see film try feel anything dare
